model_id,policy,seed,round,hv,igd
i01o_m1,parego_seed,12,13,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,12,14,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,12,15,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,12,16,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,12,17,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,12,18,0.927060229327551,0.024793529942570686
i01o_m1,parego_seed,12,19,0.927060229327551,0.024793529942570686
i01o_m1,parego_seed,12,20,0.927060229327551,0.024793529942570686
i01o_m1,parego_seed,13,1,0.8234846050026949,0.077586512573819
i01o_m1,parego_seed,13,2,0.8241232061613474,0.077586512573819
i01o_m1,parego_seed,13,3,0.8241232061613474,0.077586512573819
i01o_m1,parego_seed,13,4,0.8241232061613474,0.077586512573819
i01o_m1,parego_seed,13,5,0.8579754049731646,0.047599248742844914
i01o_m1,parego_seed,13,6,0.865093599950346,0.04287027631853143
i01o_m1,parego_seed,13,7,0.8947750331924508,0.02345152104633901
i01o_m1,parego_seed,13,8,0.8947750331924508,0.02345152104633901
i01o_m1,parego_seed,13,9,0.8949834416563293,0.02345152104633901
i01o_m1,parego_seed,13,10,0.8949834416563293,0.02345152104633901
i01o_m1,parego_seed,13,11,0.8949835340917656,0.02304570004434488
i01o_m1,parego_seed,13,12,0.8949835340917656,0.02304570004434488
i01o_m1,parego_seed,13,13,0.8949835340917656,0.02304570004434488
i01o_m1,parego_seed,13,14,0.894984829633774,0.02638718201011599
i01o_m1,parego_seed,13,15,0.9207731999880536,0.02682246165579587
i01o_m1,parego_seed,13,16,0.9207731999880536,0.02682246165579587
i01o_m1,parego_seed,13,17,0.9207731999880536,0.02682246165579587
i01o_m1,parego_seed,13,18,0.9207731999880536,0.02682246165579587
i01o_m1,parego_seed,13,19,0.9262405545567328,0.02508397226353022
i01o_m1,parego_seed,13,20,0.9262405545567328,0.02508397226353022
i01o_m1,qlogehvi_mixed,11,1,0.7188664991039886,0.16560881297646113
i01o_m1,qlogehvi_mixed,11,2,0.8443422707400409,0.05948335245704578
i01o_m1,qlogehvi_mixed,11,3,0.8443422707400409,0.05948335245704578
i01o_m1,qlogehvi_mixed,11,4,0.8480566418961233,0.056142471397986345
