model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i05o_m5,qlogehvi_mixed,12,20,0,1.0,0.9005388726480742,0.9333304489691909,0.032843415630440936,0.009153845984814,0.8211080764170776,0.931015095534043,0.9333304489691909,122.98826090001967,0,0
i05o_m5,qlogehvi_mixed,13,20,0,1.0,0.8655887104905085,0.9327429648655163,0.05717131913650547,0.01311015957124779,0.8220101244364983,0.8534841371938622,0.9327429648655163,109.53874459996587,0,0
i05o_m5,qlogehvi_mixed_seed,11,20,0,1.0,0.8960758202525682,0.929933123296302,0.037551348870994296,0.013923869129747015,0.8314485751834765,0.9297857363311476,0.929933123296302,119.0016856000002,0,0
i05o_m5,qlogehvi_mixed_seed,12,20,0,1.0,0.8751490085608762,0.9280533476692818,0.05102102177437702,0.01381136227367117,0.8342573968822306,0.8513356574700924,0.9280533476692818,128.13678300002357,0,0
i05o_m5,qlogehvi_mixed_seed,13,20,0,1.0,0.8767090412991931,0.9315550277265342,0.04905735376594057,0.01336001422489312,0.8310093419364228,0.8650753838244961,0.9315550277265342,121.57915670002694,0,0
i05o_m5,random,11,20,0,1.0,0.8663487937368461,0.8823999940997101,0.053078523126274944,0.03878973866667173,0.8307804232601985,0.8823786632640769,0.8823999940997101,160.21562700002687,0,0
i05o_m5,random,12,20,0,1.0,0.8414178537858015,0.8624859768974454,0.07367718149827154,0.05633410467780753,0.8211080764170776,0.8413252458038762,0.8624859768974454,153.30998950001958,0,0
i05o_m5,random,13,20,0,1.0,0.8703351556889544,0.8860321207059434,0.05185420891946569,0.04108002987187096,0.8220101244364983,0.8849338123063248,0.8860321207059434,148.45534449999104,0,0
i05o_m5,random_seed,11,20,0,1.0,0.8702615150563988,0.8824814748817201,0.05028429855354364,0.03878973866667173,0.8314485751834765,0.8824601440460867,0.8824814748817201,154.38888480003516,0,0
i05o_m5,random_seed,12,20,0,1.0,0.8458862024343647,0.8626639734236904,0.07110336619832208,0.05633410467780753,0.8310093419364228,0.8427454667172586,0.8626639734236904,150.05069810003624,0,0
i05o_m5,random_seed,13,20,0,1.0,0.8724665493073577,0.8860321207059434,0.05010510473859976,0.04108002987187096,0.8310093419364228,0.8849338123063248,0.8860321207059434,160.19125799999165,0,0
i06o_m6,parego,11,20,0,1.0,0.9100944626557957,0.9390579847439395,0.033545841260952704,0.013034564393301027,0.8444145368551331,0.9390579847439395,0.9390579847439395,79.7934663000051,0,0
i06o_m6,parego,12,20,0,1.0,0.8888770932976398,0.9364812860127406,0.04373176686586734,0.004565371948516245,0.8621625445609586,0.8621631706080674,0.9364812860127406,70.2772073999804,0,0
i06o_m6,parego,13,20,0,1.0,0.8719901461188426,0.9178448763711406,0.055563538110251554,0.020046429836505338,0.8524412997093929,0.8753910812335961,0.9178448763711406,74.97932099997706,0,0
i06o_m6,parego_seed,11,20,0,1.0,0.8995657199595684,0.9391695260714575,0.03719260798703798,0.006238498531776138,0.8449773748247283,0.9358000188481712,0.9391695260714575,78.43937390002247,0,0
